file,SSIM,ΔE00,LPIPS,Ref_paths,Pip_paths,Ref_cmds,Pip_cmds,Ref_gzip,Pip_gzip,Size_Reduction
1,0.2904690773878442,26.877269661791885,0.6144099831581116,316,0,1664950,0,340679,3366,99.01197314774318
2,0.2552514184852587,31.450273474581984,0.6815741658210754,403,0,2880855,0,508542,1071,99.78939792583503
3,0.21284025859919872,30.121024162723423,0.6333875060081482,91,0,294610,0,65216,1702,97.39021099116782
4,0.27986641476318225,29.86280533376795,0.6476795673370361,204,0,1278600,0,229334,1550,99.3241298717155
5,0.2746510818625789,28.42752106029973,0.6854555606842041,357,0,2640868,0,446317,3365,99.24605157320919
6,0.25158636722366556,32.292423959717645,0.625897228717804,174,0,1932682,0,311117,1491,99.52075907134615
7,0.25635718387144973,31.986360048531026,0.6137986779212952,363,0,1982797,0,398771,1416,99.64490898284981
8,0.3184768468635662,28.445753798416806,0.5399755239486694,154,0,790249,0,167292,2310,98.61918083351267
9,0.2124063643479839,31.099809197840745,0.6539443135261536,253,0,1312845,0,247838,2699,98.91098217383937
10,0.25734976673853793,26.519838061682115,0.6204099655151367,323,0,1765883,0,314368,2197,99.30113752035831
11,0.3022015051407648,27.836863116523855,0.6540248394012451,270,0,1851802,0,340392,2151,99.36808150602833
12,0.2397243678130805,30.25237347910018,0.6490920782089233,356,0,1593824,0,313160,4214,98.65436198748245
13,0.23348714423196715,33.438819737546304,0.6119861602783203,207,0,1381999,0,255379,1199,99.53050172488732
14,0.25705630989826506,29.677917656852223,0.6332834959030151,190,0,1145604,0,228401,1136,99.50262914785837
15,0.25598907493262585,30.518560588458918,0.6174449920654297,392,0,2337607,0,481332,888,99.81551195432674
16,0.22776680106086833,30.250579714342607,0.658510148525238,354,0,1703797,0,324782,3729,98.8518452377287
17,0.37710482369653,27.109874092585212,0.49390000104904175,51,0,154669,0,26531,631,97.62165014511326
18,0.2987276304520364,28.242097206659665,0.6027599573135376,170,0,1221855,0,185592,1044,99.43747575326523
19,0.2152097834890111,28.667278478846647,0.6082361340522766,314,0,2105562,0,392590,982,99.74986627270181
20,0.3121660582481764,25.849709037349125,0.6173798441886902,329,0,2495420,0,407136,735,99.8194706437161
21,0.3175493153830075,27.618981691754914,0.5448880195617676,129,0,674047,0,124509,829,99.33418467741288
22,0.2211572519323287,27.353911086224716,0.6539549231529236,363,0,2366990,0,496063,2556,99.48474286532154
23,0.2562051155001181,32.07279468750801,0.6333951950073242,218,0,1184273,0,224275,2567,98.85542302976256
24,0.26799026114776675,27.941190145857508,0.6385939121246338,396,0,2500326,0,446201,1245,99.7209777656258
25,0.22610992935918142,29.081569647164883,0.6216180324554443,144,0,656821,0,111819,1374,98.77122850320607
26,0.26595505430293437,27.702163975873837,0.5787438750267029,277,0,1371686,0,289345,524,99.81890131158306
27,0.3189300035186766,27.429748869139253,0.5389889478683472,82,0,333184,0,47889,780,98.37123347741652
28,0.2383403538065183,32.1636539105982,0.6590173244476318,308,0,2010668,0,381115,1736,99.54449444393425
29,0.26696867371146243,30.72994986135189,0.6376913785934448,162,0,1184895,0,177210,1484,99.16257547542465
30,0.30993202246342,28.173732050218497,0.5529915690422058,157,0,786416,0,150639,1110,99.26313902774181
31,0.184509727789304,33.85524178250048,0.6572433710098267,229,0,1729179,0,299984,1724,99.42530268280974
32,0.20663979647584338,32.953843306575905,0.6324594616889954,376,0,2407131,0,458466,1245,99.72844223999162
33,0.1296053009340175,26.60040858903532,0.6999810934066772,328,0,2296238,0,580646,2111,99.63643941403195
34,0.24494514894531474,28.28159322278608,0.6884979009628296,601,0,4354186,0,850265,801,99.90579407596455
35,0.32557580206486036,26.08288185251178,0.514883816242218,106,0,436979,0,87093,900,98.96662188694843
36,0.27098606795704205,29.608715750092117,0.5852192640304565,240,0,1425829,0,303429,831,99.7261303303244
37,0.29098756669321557,27.06602807437658,0.5699908137321472,81,0,520182,0,74206,1102,98.5149448831631
38,0.10983809963367124,34.55301038337008,0.694943904876709,378,0,1863322,0,361117,4151,98.85051105320436
39,0.2819848594627662,28.629720994979923,0.5649195909500122,144,0,547416,0,118321,2221,98.12290295044835
40,0.23070912845623448,29.90452176217063,0.642101526260376,258,0,1445807,0,298217,2063,99.30822186528601
41,0.06631479053421689,31.990669271455594,0.7006760239601135,519,0,2524863,0,646425,4368,99.32428355957768
42,0.07727532014605785,34.69303871853543,0.6684725284576416,511,0,2293777,0,571810,3316,99.42008709186618
43,0.19444774564086809,32.01476544969431,0.676084578037262,386,0,2065726,0,387390,3370,99.13007563437363
44,0.14946873751721676,33.91556246253896,0.6602715849876404,422,0,2073424,0,423744,4766,98.87526431052711
45,0.36716347653204506,29.436695560004278,0.5073409080505371,67,0,209024,0,34023,572,98.31878435176205
46,0.3074845983778564,31.231062274319058,0.5549511909484863,268,0,1254458,0,229517,1753,99.23622215347882
47,0.060582546548616,30.612528995067617,0.690709114074707,555,0,2420577,0,487224,4433,99.09015155246867
48,0.1340034962854975,32.71235183258702,0.6902841329574585,354,0,1625310,0,352087,4032,98.8548284940938
49,0.28039072317171765,29.52104979590031,0.6215916872024536,191,0,1106378,0,212976,1602,99.24780256930357
50,0.13326166443110923,33.39103170310709,0.693266749382019,332,0,2600414,0,427216,3073,99.28069173439197
51,0.3146937217544565,26.82601638991711,0.6080120801925659,196,0,2955760,0,387468,585,99.84901979002136
52,0.3158111030910773,28.031622048671537,0.6948570013046265,388,0,3539386,0,658806,782,99.8813004131717
53,0.22074385337943264,32.41704329023692,0.6197549104690552,391,0,2296340,0,519764,1165,99.77585981329989
54,0.0760017709299158,36.22575233166859,0.72149258852005,595,0,2946884,0,549688,1831,99.66690195165258
55,0.3208725114349468,29.556930438216334,0.5544315576553345,54,0,120175,0,18661,620,96.67756283157387
56,0.30862600171890053,29.663260446606824,0.5528801679611206,113,0,589529,0,77131,1021,98.67627802051055
57,0.22389737490428346,28.872921532908336,0.6380964517593384,262,0,1343035,0,279512,1688,99.39609032885886
58,0.21723145366726745,31.017667913037744,0.6275177001953125,333,0,1484561,0,300394,2725,99.09285804643235
59,0.33286312422635117,27.81254560489957,0.5516532063484192,177,0,651834,0,135963,2378,98.25099475592624
60,0.20487631063798747,29.57972375048845,0.5599205493927002,122,0,723158,0,113818,1016,99.10734681684795
61,0.23491671213312995,31.960284392520812,0.5782206058502197,270,0,1576707,0,329179,1153,99.6497346428539
62,0.28000356239343366,29.949674678228988,0.616536557674408,218,0,1453975,0,266966,1985,99.25645962407198
63,0.19238682819193517,33.07758075899154,0.6678959131240845,262,0,1583592,0,321193,2034,99.36673588776841
64,0.22293199693583196,29.085280899457636,0.6316812634468079,228,0,1716302,0,353514,1810,99.48799764648642
65,0.21755824214544536,30.116453178483717,0.5824849605560303,35,0,143804,0,25757,2226,91.3576891718756
